COD_CLASE;COD_MARCA;DESC_MARC;COD_MODELO;DESC_MODE;COD_PARTE;ID_ELEM;DESC_ELEM;NRO_PIEZA;VALOR;FECHA
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;51802;PUERTA DEL ESPEJO MANUAL EMBELLEC 1;815276;30122.78;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;8149VT;309490.81;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;51811;PUERTA DEL ESPEJO ELECT EMBELLEC 1;815276;30122.78;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;8151GX;35158.99;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;34021;PUERTA DEL ESPEJO ELECTRICO;8149AW;184971.43;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;34027;PUERTA DEL ESPEJO MANUAL EMBELLEC;815259;13418.23;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151GY;43229.53;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;34049;PUERTA DEL ESPEJO ELECT EMBELLEC;815259;13418.23;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;51902;PUERTA DEL ESPEJO MANUAL EMBELLEC 1;815275;30122.78;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;8149VV;309560.81;2023-11-28
901;1;Peugeot;15;*307 3P 01/06 y 06/11;4;51911;PUERTA DEL ESPEJO ELECT EMBELLEC 1;815275;30122.78;2023-11-28
