COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;12;2;8141922;5;6.10;51632.71;3.94;35264.09
901;1;12;2;8143839;1;0.00;0.00;0.24;6475.34
901;1;12;2;8145379;10;4.41;1686796.90;3.48;30498.91
901;1;12;2;8146082;5;6.93;0.00;4.53;32319.86
901;1;12;2;8146814;4;5.21;0.00;4.00;30961.81
901;1;12;2;8149005;7;8.85;69391.18;6.77;41303.61
901;1;12;2;8155902;2;1.41;0.00;1.06;9248.71
901;1;12;2;8158237;1;0.00;0.00;0.00;0.00
901;1;12;2;8158319;3;2.91;793666.59;3.83;35549.33
901;1;12;2;8158593;4;5.21;0.00;4.00;30961.81
901;1;12;2;8160279;2;3.15;0.00;2.32;21095.80
901;1;12;2;8163674;5;8.67;55986.24;5.49;37942.24
901;1;12;2;8167365;5;2.38;1232501.12;2.77;26300.62
901;1;12;2;8168145;9;2.97;1088936.51;3.22;30236.23
901;1;12;2;8174591;6;5.58;1247886.00;5.16;40364.92
901;1;12;2;8175905;1;0.81;0.00;1.06;9248.71
901;1;12;2;8178309;3;2.10;942886.21;2.77;26300.62
901;1;12;2;8184106;25;13.41;2851518.95;9.14;81785.11
901;1;12;2;8186064;8;4.57;1249872.68;3.22;30236.23
901;1;12;2;8189901;2;3.65;0.00;3.68;22349.38
901;1;12;2;8191571;15;4.33;2073930.19;3.43;32049.78
901;1;12;2;8196219;5;3.19;910355.27;3.83;35549.33
901;1;12;2;8196459;16;5.77;2398710.22;4.84;44404.52
901;1;12;2;8196818;5;10.21;1676355.75;7.51;67574.35
901;1;12;2;8199190;11;10.28;2578082.36;7.51;67574.35
901;1;12;2;8199253;11;15.23;1383022.29;5.46;46740.16
901;1;12;2;8199260;3;3.96;0.00;3.38;30344.51
901;1;12;2;8200603;3;0.00;0.00;0.00;0.00
901;1;12;2;8201946;3;0.00;0.00;0.00;0.00
901;1;12;2;8205240;6;4.50;891695.46;4.54;39747.62
901;1;12;2;8206267;8;17.40;2532888.78;7.62;64457.64
901;1;12;2;8207351;2;2.56;0.00;1.68;9866.01
901;1;12;2;8210405;4;9.56;1659853.13;3.96;36222.06
901;1;12;2;8213131;5;8.77;0.00;4.98;34943.60
901;1;12;2;8213379;4;1.20;297144.74;0.46;3935.66
901;1;12;2;8220477;1;3.68;0.00;2.21;11224.06
901;1;12;2;8222886;11;3.49;2207565.67;4.28;39484.94
901;1;12;2;8227510;3;1.08;943667.71;2.77;26300.62
901;1;12;2;8229874;7;4.13;1121099.65;3.48;30498.91
901;1;12;2;8230503;3;3.29;299233.14;2.32;21095.80
901;1;12;2;8230763;1;1.96;0.00;1.68;9866.01
901;1;12;2;8231057;4;3.25;0.00;2.48;27460.71
